closure_time,censor,500m_5yr_churn,Business type,Rate type (STD),cluster,ft to downtown,is_downtown_association,is_home_occ,sq(ft),start_year,type,zone,zone_type
2202.0,0,0.2366412213740458,Beauty Salon,General Service,1,9669.299579027433,0,0,113632.1974917182,2020,Service,C,Commercial
3637.0,1,0.1590909090909091,Rental- Residential,Residential Rental,3,5426.066805182904,0,0,6377.397569982046,2010,Rental,R-1,Residential
5619.0,0,0.2291666666666666,Rental- Residential,Residential Rental,0,2361.84143528398,0,0,43649.68623597521,2010,Rental,R-2,Residential
968.0,1,0.4144736842105263,Rental- Residential,Residential Rental,4,10688.063083725268,0,0,57063.80266201096,2016,Rental,R-3,Residential
11306.0,1,0.0,Rental- Residential,Residential Rental,3,1529.9723641205671,0,0,6857.371990057769,1992,Rental,R-2,Residential
7069.0,1,0.0,Rental- Residential,Residential Rental,0,1566.921056733887,0,0,7052.309680256324,1992,Rental,R-3,Residential
1851.0,1,0.3036649214659686,Rental- Residential,Residential Rental,0,702.9907666095812,0,0,69358.79660944531,2010,Rental,R-3,Residential
1483.0,0,0.2943722943722944,Rental- Residential,Residential Rental,0,943.5243405612276,0,0,34418.362528985424,2022,Rental,R-2,Residential
1424.0,0,0.2068965517241379,Rental- Residential,Residential Rental,1,12496.693135135032,0,0,4365.00757659823,2022,Rental,R-1,Residential
5460.0,1,0.0,Consultant,General Service,1,11997.093480460606,0,0,38783.40069214897,1997,Service,O,Office
61.0,1,0.3090909090909091,Home Occupation,General Retailer,4,10688.574214255648,0,1,7246.964205736001,2013,Retail,R-1,Residential
175.0,0,0.2052980132450331,Home Occupation,General Service,0,687.5611410646618,0,1,21416.80222611196,2025,Service,R-3,Residential
5661.0,0,0.2022471910112359,Rental- Residential,Residential Rental,4,9551.714699511222,0,0,5416.876614812368,2010,Rental,R-1,Residential
1783.0,1,0.3333333333333333,Insurance Agent/Broker,Professional Service,1,12702.07855382758,0,0,80475.7869741603,2015,Service,C,Commercial
870.0,1,0.206060606060606,Contractor- Specialty,Contractor,0,2067.603542114904,0,0,7396.043266987006,2008,Service,O,Office
6426.0,0,0.1428571428571428,Home Occupation,Contractor,1,15185.686860633064,0,1,6131.6866265584895,2008,Service,R-1,Residential
91.0,1,0.3412698412698413,Rental- Residential,Residential Rental,4,9839.806179367322,0,0,174443.82247309052,2022,Rental,R-3,Residential
4126.0,1,0.256544502617801,Rental- Residential,Residential Rental,4,9721.45944705644,0,0,93487.69405701438,2010,Rental,R-2,Residential
3941.0,1,0.1728395061728395,Rental- Residential,Residential Rental,1,6037.417184650315,0,0,59233.36639189376,2010,Rental,R-1,Residential
6942.0,1,0.0,Home Occupation,General Service,1,9281.950169925714,0,1,14079.015353493927,2001,Service,R-1,Residential
134.0,1,0.2421875,Beauty Salon,General Service,1,11637.5290119441,0,0,18241.35220912705,2016,Service,C,Commercial
1086.0,1,0.2596685082872928,Personal Services,General Service,1,10024.543732764068,0,0,76045.2036602782,2017,Service,C,Commercial
866.0,0,0.3738738738738739,Delivery Services,General Service,4,10168.39394269304,0,0,192529.2080384884,2023,Service,R-3,Residential
1778.0,0,0.3766233766233766,Contractor- General,Contractor,2,11805.03077486831,0,0,89873.10916943774,2021,Service,M,Manufacturing
2832.0,1,0.3006535947712418,Rental- Residential,Residential Rental,1,7561.833115312173,0,0,174830.0224044298,2010,Rental,R-2,Residential
2884.0,0,0.2631578947368421,Medical Services,Professional Service,0,4097.141772737705,0,0,36400.39777929863,2018,Service,PF,Public
833.0,1,0.2619047619047619,Home Occupation,Professional Service,0,3674.396071515069,0,1,7499.307159359446,2009,Service,R-1,Residential
2087.0,1,0.0,Beauty Salon,Downtown Association,0,0.0,1,0,37187.77312983599,2001,Downtown Association,C,Commercial
6549.0,0,0.1529411764705882,Retail,Downtown Association,0,0.0,1,0,7170.125167957734,2008,Downtown Association,C,Commercial
1456.0,0,0.2762430939226519,Rental- Residential,Residential Rental,1,5355.633337004085,0,0,1681.8132272720227,2022,Rental,R-3,Residential
805.0,0,0.238095238095238,Restaurant,General Retailer,2,10413.216613322871,0,0,126400.15609914952,2024,Retail,M,Manufacturing
973.0,1,0.2580645161290322,Rental- Residential,Residential Rental,0,2678.536299646036,0,0,29155.05448727955,2021,Rental,O,Office
648.0,1,0.16,Caterer,General Service,1,7179.631142251805,0,0,7263.591794810773,2009,Service,C,Commercial
2297.0,0,0.3189066059225512,Beauty Salon,General Service,0,1415.1374795950053,0,0,13062.972741582882,2019,Service,C,Commercial
2702.0,0,0.2916666666666667,Beauty Salon,General Service,0,1361.684466300973,0,0,7638.308467498469,2018,Service,C,Commercial
13033.0,1,0.0,Architect,Professional Service,0,15.5261559676074,0,0,12108.743546798096,1986,Service,O,Office
2433.0,0,0.3285714285714285,Beauty Salon,General Service,1,7389.047375373454,0,0,94157.21015825246,2019,Service,C,Commercial
434.0,1,0.1764705882352941,Consultant,Professional Service,1,13344.72586807148,0,0,19375.037450527616,2012,Service,R-2,Residential
5493.0,0,0.2758620689655172,Massage,Massage Therapist,0,28.006788526894063,0,0,18277.68557006998,2011,Service,O,Office
1910.0,0,0.3571428571428571,Manufacturing,General Manufacturer,1,16230.307596788864,0,0,42701.27998367919,2020,Other,PF,Public
895.0,1,0.2,Home Occupation,Contractor,1,5365.991936545049,0,1,6070.458253537519,2007,Service,R-1,Residential
5673.0,0,0.2324455205811138,Attorney at Law,Professional Service,0,306.6162546051624,0,0,27592.678244139726,2010,Service,O,Office
471.0,1,0.3359375,Beauty Salon,General Service,1,11637.5290119441,0,0,18241.35220912705,2014,Service,C,Commercial
1609.0,0,0.3265306122448979,Finance Company,General Service,0,3318.2355861532674,0,0,100987.56764073543,2021,Service,C,Commercial
27.0,1,0.3509933774834437,Misc Business Services,Professional Service,0,3318.2355861532674,0,0,100987.56764073543,2020,Service,C,Commercial
564.0,1,0.12,Counseling,General Service,2,11468.888962606194,0,0,106851.71203752069,2006,Service,C,Commercial
4058.0,0,0.2699386503067484,Retail,General Retailer,0,2646.485719047409,0,0,6504.119603407887,2015,Retail,C,Commercial
2204.0,1,0.0,Photographic Studio/Portrait,General Service,3,2489.200806059341,0,0,6094.633648934146,2003,Service,R-1,Residential
264.0,1,0.3108108108108108,Home Occupation,General Manufacturer,1,5710.873446512619,0,1,164404.4606291143,2018,Other,R-3,Residential
6853.0,0,0.1322314049586777,Rental- Residential,Residential Rental,4,10842.736405633135,0,0,11355.566177044468,2007,Rental,R-2,Residential
9126.0,0,0.0,Rental- Residential,Residential Rental,0,1571.860975903584,0,0,6161.029689153566,2001,Rental,R-3,Residential
255.0,1,0.2435897435897435,Delivery Services,General Service,2,7482.513078973373,0,0,138288.0911287408,2021,Service,O,Office
1778.0,0,0.3783783783783784,Home Occupation,Professional Service,4,10865.396659371518,0,1,102654.01945182164,2021,Service,R-1,Residential
329.0,1,0.1551094890510949,Professional,Downtown Association,0,0.0,0,0,6195.2053808079945,2008,Downtown Association,O,Office
5793.0,0,0.2682926829268293,Retail,General Retailer,2,11674.571573346364,0,0,14238.053285660111,2010,Retail,C,Commercial
426.0,1,0.0,Massage,Downtown Association,0,0.0,1,0,4986.801877116959,2006,Downtown Association,C,Commercial
669.0,1,0.21875,Home Occupation,General Service,1,9065.707495197355,0,1,5271.7997060756525,2010,Service,R-2,Residential
5.0,1,0.2606382978723404,Restaurant,General Retailer,3,4553.253680466651,0,0,50817.15560035894,2012,Retail,C,Commercial
681.0,1,0.3176943699731903,Professional,Downtown Association,0,0.0,1,0,4986.801877116959,2016,Downtown Association,C,Commercial
5645.0,0,0.2953367875647668,Retail,General Retailer,2,11061.086698989377,0,0,45037.94100080904,2010,Retail,C,Commercial
13833.0,0,0.0,Retail,General Retailer,2,11086.726902558446,0,0,27537.65434266489,1988,Retail,C,Commercial
1780.0,0,0.2944162436548223,Florist/Nursery,General Retailer,1,7309.109235487157,0,0,88366.39403027849,2021,Retail,M,Manufacturing
1272.0,0,0.338562091503268,Florist/Nursery,Downtown Association,0,0.0,1,0,9246.214200532697,2022,Downtown Association,C,Commercial
887.0,1,0.2831050228310502,Designer/Illustrator/Decorator,General Manufacturer,1,8898.237313338466,0,0,13192.376801350423,2016,Other,M,Manufacturing
6811.0,0,0.1264705882352941,"Computers, Sales & Service",General Service,0,872.7029777393118,0,0,7967.851662065964,2007,Service,C,Commercial
10958.0,0,0.0,Restaurant,General Retailer,4,5402.122232983846,0,0,118773.7785356621,1996,Retail,C,Commercial
5657.0,1,0.0,Designer/Illustrator/Decorator,General Service,0,1845.1014356876703,0,0,31553.48140695453,2004,Service,C,Commercial
2083.0,1,0.256020278833967,Restaurant,Downtown Association,0,0.0,1,0,8377.251199391992,2019,Downtown Association,C,Commercial
1530.0,1,0.1875,Rental- Residential,Residential Rental,1,13097.819165604926,0,0,136728.55655408156,2010,Rental,R-2,Residential
1280.0,0,0.2033195020746888,Retail,General Retailer,3,4282.081529952254,0,0,21265.475283439107,2022,Retail,C,Commercial
3230.0,0,0.3918918918918919,Home Occupation,General Service,0,4083.5438846678658,0,1,5559.199644982774,2017,Service,R-1,Residential
309.0,1,0.2914285714285714,Home Occupation,General Retailer,4,11078.65703927094,0,1,3515.8041423305613,2019,Retail,R-2,Residential
6137.0,1,0.0,Designer/Illustrator/Decorator,General Service,2,11562.88371956061,0,0,104256.82868838344,1996,Service,C,Commercial
556.0,1,0.2101449275362318,Misc Business Services,General Service,3,4563.376943177316,0,0,50817.15560035894,2009,Service,C,Commercial
294.0,1,0.0681818181818181,Retail,General Retailer,2,9108.81167374273,0,0,18329.805341685696,2007,Retail,C,Commercial
605.0,1,0.2801932367149758,Manufacturing,General Manufacturer,1,9481.52708955213,0,0,16721.253007980296,2013,Other,M,Manufacturing
5177.0,0,0.3160621761658031,Professional,Professional Service,2,11074.923729994009,0,0,45037.94100080904,2012,Service,C,Commercial
977.0,1,0.3031674208144796,Repair Services,General Retailer,4,9929.459970026694,0,0,328946.8744863285,2014,Retail,C,Commercial
3239.0,0,0.2982456140350877,Pharmacy,General Retailer,3,3600.9345545699584,0,0,33746.40362055601,2017,Retail,O,Office
7992.0,1,0.0,Restaurant,Downtown Association,0,0.0,1,0,28532.77046705933,1985,Downtown Association,C,Commercial
491.0,1,0.054054054054054,Auto Mechanic/Detailer/Services,General Service,2,10647.70359512751,0,0,156225.5631969689,2008,Service,C,Commercial
3123.0,1,0.3653585926928281,Retail,Downtown Association,0,0.0,1,0,6856.485768671048,2012,Downtown Association,C,Commercial
7858.0,0,0.0,Architect,Professional Service,0,1292.7415584892042,0,0,26048.61578759927,2004,Service,O,Office
1439.0,0,0.3086419753086419,Home Occupation,Professional Service,4,9076.177873164015,0,1,13594.280938349577,2022,Service,R-1,Residential
1419.0,1,0.1351351351351351,Home Occupation,General Retailer,2,12420.338274372098,0,1,4122.215784905181,2006,Retail,R-1,Residential
1316.0,1,0.2977777777777777,Home Occupation,Professional Service,1,6265.934344270976,0,1,152911.7341915805,2013,Service,R-3,Residential
1125.0,1,0.3053097345132743,Massage,Massage Therapist,0,1814.6413556158027,0,0,28930.910947524146,2019,Service,O,Office
4044.0,0,0.277246653919694,Legal Services,General Service,0,22.40329241658097,0,0,4503.196849852597,2015,Service,O,Office
168.0,0,0.2982885085574572,Home Occupation,General Service,0,513.20964376953,0,1,7067.106921251315,2025,Service,O,Office
9476.0,0,0.0,"Wholesale, Distributors",General Wholesaler,2,8229.933719590104,0,0,10472.42996312844,2000,Other,C,Commercial
2520.0,1,0.3661971830985915,Rental- Residential,Residential Rental,1,7257.943042717474,0,0,25179.4966152406,2018,Rental,R-3,Residential
4219.0,0,0.4130434782608695,Retail,General Retailer,2,12873.812385833986,0,0,97915.6927441578,2014,Retail,C,Commercial
5926.0,1,0.0,Repair Services,General Service,2,11691.14531441699,0,0,268830.70841695205,2001,Service,M,Manufacturing
426.0,1,0.337295690936107,Medical Services,Professional Service,0,0.0,0,0,8045.075438811998,2015,Service,O,Office
1442.0,0,0.3559322033898305,Rental- Residential,Residential Rental,3,8011.299855110476,0,0,5977.976914002045,2022,Rental,R-1,Residential
429.0,1,0.2662473794549266,Massage,Downtown Association,0,0.0,1,0,37187.77312983599,2009,Downtown Association,C,Commercial
684.0,0,0.225130890052356,Contractor- Specialty,Contractor,0,4345.667417115033,0,0,7949.164934073776,2024,Service,C,Commercial
1036.0,1,0.2830930537352555,Beauty Salon,Downtown Association,0,0.0,1,0,6589.257824456742,2010,Downtown Association,C,Commercial
7346.0,0,0.0,Misc Business Services,General Service,1,7086.666250533984,0,0,12112.660498979272,2006,Service,R-4,Residential
